,htid,mean_delta,median_delta,improved,worse,same,total
54,dul1.ark:/13960/t3223p23p,-0.04874854806556551,-0.03924813462807886,789,182,5,976
19,aeu.ark:/13960/t7zk6n69f,-0.04817831609928917,-0.03205593147614445,294,57,1,352
260,uc2.ark:/13960/t39z92h4z,-0.040730429973489635,-0.018055555555555602,89,40,0,129
153,mdp.39015059395031,-0.04049770824398529,-0.026548673,83,48,0,131
331,uva.x000823504,-0.040477290176604605,-0.034785239,266,72,0,338
7,aeu.ark:/13960/t3nv9s35t,-0.0396998624458471,-0.036458333,1525,304,3,1832
29,chi.23876384,-0.03941458059909567,-0.024390244,64,24,1,89
43,coo1.ark:/13960/t4gm8s24t,-0.039079925628245506,-0.027777778,98,17,0,115
291,uiuc.2189221v4,-0.037812469246965505,-0.020833333,121,26,2,149
0,aeu.ark:/13960/t05x2nj0f,-0.03722795220889971,-0.029925372999999998,431,91,0,522
245,uc2.ark:/13960/fk5h98zp8m,-0.03682489724963095,-0.02601184,144,34,0,178
2,aeu.ark:/13960/t1fj3b51m,-0.03618286675997343,-0.027639927283783804,230,64,0,294
325,umn.31951p000221243,-0.035225726948609364,-0.03320486934619335,448,144,0,592
4,aeu.ark:/13960/t2f76pg6h,-0.03521599797089352,-0.026965881622171995,709,169,4,882
25,aeu.ark:/13960/t8kd2mr7v,-0.03515952239667277,-0.03030303,425,65,1,491
9,aeu.ark:/13960/t3vt2kw8z,-0.034869472378515204,-0.032653605199187,479,127,0,606
18,aeu.ark:/13960/t7sn0pr9w,-0.0347611827514851,-0.033898305,763,112,0,875
15,aeu.ark:/13960/t6g16xd6v,-0.03412958616878002,-0.0315432415641026,576,157,1,734
59,dul1.ark:/13960/t6931tz23,-0.03403202805547519,-0.023164647,41,13,0,54
287,ucw.ark:/13960/t5p855r99,-0.03356130169963321,-0.01754386,92,54,0,146
292,uiuc.6985131,-0.031316964170474554,-0.02,95,34,0,129
143,mdp.39015006593068,-0.030320273592011445,-0.022674112651898753,63,37,0,100
56,dul1.ark:/13960/t4jm31m6k,-0.030051988329285316,-0.025,429,120,0,549
281,uc2.ark:/13960/t8z894d2v,-0.029719073454450334,-0.020408163,255,61,2,318
147,mdp.39015031325189,-0.02945950784429188,-0.017857143,200,107,0,307
171,njp.32101067629319,-0.028871788079454182,-0.0168896378508772,64,38,0,102
17,aeu.ark:/13960/t7qn7nz96,-0.028400482178049184,-0.025809013753623197,446,115,0,561
189,nyp.33433074939400,-0.02776328132444476,-0.023529412,47,18,0,65
13,aeu.ark:/13960/t6d22pr55,-0.027699123144419184,-0.034482759,1511,386,3,1900
282,uc2.ark:/13960/t91836239,-0.027396575700011083,-0.0359216255442671,898,308,3,1209
22,aeu.ark:/13960/t8ff4jb1m,-0.027210378977890838,-0.027972028,284,47,0,331
127,iau.31858023970837,-0.02682947722514325,1.1111109948780395e-10,57,58,1,116
1,aeu.ark:/13960/t16m3t07k,-0.026754304841878754,-0.023739081500000002,400,94,0,494
24,aeu.ark:/13960/t8kd2dr1g,-0.026442167631223177,-0.01990099,263,59,0,322
255,uc2.ark:/13960/t2r49h906,-0.02639619348925832,-0.0212960540697675,194,85,0,279
313,uiuo.ark:/13960/t20c8vx0m,-0.026336252108572742,-0.028793696102040897,104,36,1,141
44,coo1.ark:/13960/t4jm2tv4w,-0.026316347397758476,-0.020618557,269,76,0,345
266,uc2.ark:/13960/t57d2t57s,-0.02630408589737322,-0.026911492836879505,384,71,0,455
45,coo1.ark:/13960/t64467p44,-0.026123274552254813,-0.021858575999999998,190,51,1,242
272,uc2.ark:/13960/t6542s559,-0.02609860409990745,-0.022727273,182,84,0,266
28,aeu.ark:/13960/t9p280v0d,-0.026063677870729753,-0.023891063499999997,370,71,1,442
140,loc.ark:/13960/t81j9x52m,-0.025776969608327704,-0.018518519,147,46,0,193
134,inu.32000007958988,-0.025260935790314392,-0.017241379,126,63,0,189
251,uc2.ark:/13960/t1gh9qz9k,-0.024751288663362913,-0.022222222,462,111,0,573
271,uc2.ark:/13960/t6251h74f,-0.02473836464549386,-0.0166966514858758,127,63,1,191
